song,pitch,diatonicNumber,beat,beatStrength,duration,IPA,vowelCategory,stress
MitDemGrunenLautenbande,F5,39,2.5,1,0.5,drʊm,2,0
MitDemGrunenLautenbande,F5,39,1.0,2,0.5,'hab,0,1
MitDemGrunenLautenbande,G4,33,1.5,1,0.25,'hab,0,1
MitDemGrunenLautenbande,G4,33,1.75,0,0.25,ən,1,0
MitDemGrunenLautenbande,E-5,38,2.0,2,0.5,'viʁ,2,1
MitDemGrunenLautenbande,D5,37,2.5,1,0.25,'viʁ,2,1
MitDemGrunenLautenbande,C5,36,2.75,0,0.25,ɛs,0,0
MitDemGrunenLautenbande,B-4,35,1.0,2,0.5,'gɛɾn,0,1
MitDemGrunenLautenbande,D5,37,1.0,2,0.5,nun,2,0
MitDemGrunenLautenbande,C5,36,1.5,1,0.25,'ʃli,2,1
MitDemGrunenLautenbande,A4,34,1.75,0,0.25,ŋə,1,0
MitDemGrunenLautenbande,B-4,35,2.0,2,0.5,'In,2,1
MitDemGrunenLautenbande,F4,32,2.5,1,0.5,di,2,0
MitDemGrunenLautenbande,E-5,38,1.0,2,0.5,'lɔ,0,1
MitDemGrunenLautenbande,D5,37,1.5,1,0.5,kən,1,0
MitDemGrunenLautenbande,C5,36,2.0,2,0.75,'da:In,0,1
MitDemGrunenLautenbande,C5,36,2.75,0,0.25,das,0,0
MitDemGrunenLautenbande,F5,39,1.0,2,0.5,'gry,2,1
MitDemGrunenLautenbande,E-5,38,1.5,1,0.25,nə,1,0
MitDemGrunenLautenbande,D5,37,1.75,0,0.25,nə,1,0
MitDemGrunenLautenbande,D5,37,2.0,2,0.5,'bant,0,1
MitDemGrunenLautenbande,C5,36,2.5,1,0.25,gɛ,0,0
MitDemGrunenLautenbande,A4,34,2.75,0,0.25,gɛ,0,0
MitDemGrunenLautenbande,B-4,35,1.0,2,0.5,'fɛ,0,1
MitDemGrunenLautenbande,C5,36,1.5,1,0.5,lIç,2,0
MitDemGrunenLautenbande,D5,37,2.0,2,0.5,'a:In,0,1
MitDemGrunenLautenbande,D5,37,2.5,1,0.5,du,2,0
